date,past_2_weeks_per_capita,lon,lat,height
2020-10-24T00:00:00,10.977184675,-98.5886114617,43.2086152621,M 0 0 L 0 -11.526043908750001
2020-10-25T00:00:00,11.3000430478,-98.5886114617,43.2086152621,M 0 0 L 0 -11.86504520019
2020-10-26T00:00:00,11.0848041326,-98.5886114617,43.2086152621,M 0 0 L 0 -11.63904433923
2020-10-27T00:00:00,11.1924235902,-98.5886114617,43.2086152621,M 0 0 L 0 -11.75204476971
2020-10-15T00:00:00,14.4627054362,-98.1449823394,43.6746976279,M 0 0 L 0 -15.185840708010002
2020-10-16T00:00:00,13.9570164349,-98.1449823394,43.6746976279,M 0 0 L 0 -14.654867256645
2020-10-17T00:00:00,13.8558786346,-98.1449823394,43.6746976279,M 0 0 L 0 -14.54867256633
2020-10-18T00:00:00,14.816687737,-98.1449823394,43.6746976279,M 0 0 L 0 -15.557522123850001
2020-10-19T00:00:00,14.7661188369,-98.1449823394,43.6746976279,M 0 0 L 0 -15.504424778745001
2020-10-20T00:00:00,15.6257901391,-98.1449823394,43.6746976279,M 0 0 L 0 -16.407079646055
2020-10-21T00:00:00,15.4740834387,-98.1449823394,43.6746976279,M 0 0 L 0 -16.247787610635
2020-10-22T00:00:00,14.816687737,-98.1449823394,43.6746976279,M 0 0 L 0 -15.557522123850001
2020-10-23T00:00:00,14.9683944374,-98.1449823394,43.6746976279,M 0 0 L 0 -15.716814159270001
2020-10-24T00:00:00,15.5246523388,-98.1449823394,43.6746976279,M 0 0 L 0 -16.30088495574
2020-10-25T00:00:00,14.8672566372,-98.1449823394,43.6746976279,M 0 0 L 0 -15.610619469060001
2020-10-26T00:00:00,14.4627054362,-98.1449823394,43.6746976279,M 0 0 L 0 -15.185840708010002
2020-10-27T00:00:00,14.5638432364,-98.1449823394,43.6746976279,M 0 0 L 0 -15.292035398220001
2020-10-15T00:00:00,8.1860262823,-96.7907843816,43.6742990239,M 0 0 L 0 -8.595327596415
2020-10-16T00:00:00,8.2844035747,-96.7907843816,43.6742990239,M 0 0 L 0 -8.698623753435001
2020-10-17T00:00:00,8.8073565504,-96.7907843816,43.6742990239,M 0 0 L 0 -9.247724377920001
2020-10-18T00:00:00,9.2319322336,-96.7907843816,43.6742990239,M 0 0 L 0 -9.693528845280001
2020-10-19T00:00:00,9.3872648006,-96.7907843816,43.6742990239,M 0 0 L 0 -9.856628040630001
2020-10-20T00:00:00,10.0655503433,-96.7907843816,43.6742990239,M 0 0 L 0 -10.568827860465001
2020-10-21T00:00:00,10.4435262564,-96.7907843816,43.6742990239,M 0 0 L 0 -10.965702569220001
2020-10-22T00:00:00,10.479770522,-96.7907843816,43.6742990239,M 0 0 L 0 -11.003759048100001
2020-10-23T00:00:00,11.1373450558,-96.7907843816,43.6742990239,M 0 0 L 0 -11.69421230859
2020-10-24T00:00:00,11.7068978015,-96.7907843816,43.6742990239,M 0 0 L 0 -12.292242691575002
2020-10-25T00:00:00,12.203962016,-96.7907843816,43.6742990239,M 0 0 L 0 -12.8141601168
2020-10-26T00:00:00,12.5560491679,-96.7907843816,43.6742990239,M 0 0 L 0 -13.183851626295
2020-10-27T00:00:00,12.7165594872,-96.7907843816,43.6742990239,M 0 0 L 0 -13.35238746156
2020-10-18T00:00:00,4.5406320257,-82.3042260547,36.5131584541,M 0 0 L 0 -4.767663626985
2020-10-19T00:00:00,4.6479905019,-82.3042260547,36.5131584541,M 0 0 L 0 -4.880390026995
2020-10-20T00:00:00,5.0079571577,-82.3042260547,36.5131584541,M 0 0 L 0 -5.258355015585
2020-10-21T00:00:00,5.1279460429,-82.3042260547,36.5131584541,M 0 0 L 0 -5.384343345045
2020-10-22T00:00:00,5.3047717685,-82.3042260547,36.5131584541,M 0 0 L 0 -5.570010356925001
2020-10-23T00:00:00,5.5131735166,-82.3042260547,36.5131584541,M 0 0 L 0 -5.78883219243
2020-10-24T00:00:00,6.0562811024,-82.3042260547,36.5131584541,M 0 0 L 0 -6.3590951575200005
2020-10-25T00:00:00,6.5046606209,-82.3042260547,36.5131584541,M 0 0 L 0 -6.829893651945
2020-10-26T00:00:00,6.8077904363,-82.3042260547,36.5131584541,M 0 0 L 0 -7.1481799581150005
2020-10-27T00:00:00,6.8204208452,-82.3042260547,36.5131584541,M 0 0 L 0 -7.1614418874600005
2020-10-24T00:00:00,4.6654087229,-111.9135109465,41.2694796769,M 0 0 L 0 -4.898679159045
2020-10-26T00:00:00,6.0412047054,-111.9135109465,41.2694796769,M 0 0 L 0 -6.34326494067
2020-10-27T00:00:00,4.7730128779,-111.9135109465,41.2694796769,M 0 0 L 0 -5.0116635217950005
2020-10-15T00:00:00,7.0334011732,-91.9324757468,34.2691449731,M 0 0 L 0 -7.38507123186
2020-10-16T00:00:00,7.2279420567,-91.9324757468,34.2691449731,M 0 0 L 0 -7.589339159535
2020-10-17T00:00:00,6.5844606728,-91.9324757468,34.2691449731,M 0 0 L 0 -6.91368370644
2020-10-18T00:00:00,6.120555489,-91.9324757468,34.2691449731,M 0 0 L 0 -6.42658326345
2020-10-19T00:00:00,5.8362265054,-91.9324757468,34.2691449731,M 0 0 L 0 -6.12803783067
2020-10-20T00:00:00,6.0606967557,-91.9324757468,34.2691449731,M 0 0 L 0 -6.363731593485001
2020-10-21T00:00:00,6.1055908057,-91.9324757468,34.2691449731,M 0 0 L 0 -6.410870345985001
2020-10-22T00:00:00,6.4048844726,-91.9324757468,34.2691449731,M 0 0 L 0 -6.7251286962300005
2020-10-23T00:00:00,5.8661558721,-91.9324757468,34.2691449731,M 0 0 L 0 -6.159463665705
2020-10-24T00:00:00,5.7614030887,-91.9324757468,34.2691449731,M 0 0 L 0 -6.049473243135
2020-10-25T00:00:00,5.8661558721,-91.9324757468,34.2691449731,M 0 0 L 0 -6.159463665705
