lon,lat,date,county,state,cases,height
-93.0575460847043,32.347211914168454,2021-04-06,Bienville,Louisiana,1641,M -1 0 L 0 -0.1641 L 1 0
-120.64816582368987,38.447637950890865,2021-04-06,Amador,California,3583,M -1 0 L 0 -0.3583 L 1 0
-120.52448350580978,38.778780309036584,2021-04-06,El Dorado,California,9463,M -1 0 L 0 -0.9463 L 1 0
-91.91222494550436,36.09489053201292,2021-04-06,Izard,Arkansas,1662,M -1 0 L 0 -0.1662 L 1 0
-79.3567402613116,37.73257548328104,2021-04-06,Buena Vista city,Virginia,869,M -1 0 L 0 -0.0869 L 1 0
-79.40581356987973,36.58134900380379,2021-04-06,Danville city,Virginia,4189,M -1 0 L 0 -0.4189 L 1 0
-80.90999904087647,36.676823198348565,2021-04-06,Galax city,Virginia,1066,M -1 0 L 0 -0.1066 L 1 0
-78.8743289557149,38.43632456585918,2021-04-06,Harrisonburg city,Virginia,6246,M -1 0 L 0 -0.6246 L 1 0
-79.8626312065979,36.680692087323,2021-04-06,Martinsville city,Virginia,1557,M -1 0 L 0 -0.1557 L 1 0
-86.26392493951461,41.04724613742338,2021-04-06,Fulton,Indiana,1877,M -1 0 L 0 -0.1877 L 1 0
-94.47140981978515,41.33089304487006,2021-04-06,Adair,Iowa,839,M -1 0 L 0 -0.0839 L 1 0
-121.23937777660169,36.217635155307256,2021-04-06,Monterey,California,43038,M -1 0 L 0 -4.3038 L 1 0
-91.15972945326173,38.76419391176976,2021-04-06,Warren,Missouri,3055,M -1 0 L 0 -0.3055 L 1 0
-80.66576272468924,36.15939013732375,2021-04-06,Yadkin,North Carolina,3812,M -1 0 L 0 -0.3812 L 1 0
-84.60481141708654,43.29278900796323,2021-04-06,Gratiot,Michigan,6002,M -1 0 L 0 -0.6002 L 1 0
-83.71551034869248,37.59431034652796,2021-04-06,Lee,Kentucky,1254,M -1 0 L 0 -0.1254 L 1 0
-95.30681626591267,37.55801183160831,2021-04-06,Neosho,Kansas,1777,M -1 0 L 0 -0.1777 L 1 0
-85.07473516397754,42.9448591528505,2021-04-06,Ionia,Michigan,7775,M -1 0 L 0 -0.7775 L 1 0
-85.53086589075245,42.24513302244945,2021-04-06,Kalamazoo,Michigan,18196,M -1 0 L 0 -1.8196 L 1 0
-87.26159199419227,37.528636936398364,2021-04-06,McLean,Kentucky,858,M -1 0 L 0 -0.0858 L 1 0
-95.18178553708896,44.00705345264737,2021-04-06,Cottonwood,Minnesota,1493,M -1 0 L 0 -0.1493 L 1 0
-85.80254433982911,43.99064182179005,2021-04-06,Lake,Michigan,461,M -1 0 L 0 -0.0461 L 1 0
-86.25040842527717,43.995009691391225,2021-04-06,Mason,Michigan,1490,M -1 0 L 0 -0.149 L 1 0
-85.32578973686414,43.640580019798186,2021-04-06,Mecosta,Michigan,2404,M -1 0 L 0 -0.2404 L 1 0
-86.15233510163046,43.29124448020579,2021-04-06,Muskegon,Michigan,13779,M -1 0 L 0 -1.3779 L 1 0
-93.34885639276392,43.673657768967686,2021-04-06,Freeborn,Minnesota,3132,M -1 0 L 0 -0.3132 L 1 0
-89.02398871935024,39.00032791723988,2021-04-06,Fayette,Illinois,3108,M -1 0 L 0 -0.3108 L 1 0
-88.59009866058301,39.05933538744562,2021-04-06,Effingham,Illinois,4604,M -1 0 L 0 -0.4604 L 1 0
-93.99804834958852,45.69796547936548,2021-04-06,Benton,Minnesota,5088,M -1 0 L 0 -0.5088 L 1 0
-100.81440702007676,34.96536903254128,2021-04-06,Donley,Texas,363,M -1 0 L 0 -0.0363 L 1 0
-95.45379023618982,45.93359466961469,2021-04-06,Douglas,Minnesota,4249,M -1 0 L 0 -0.4249 L 1 0
-97.94054828500798,35.94502992804976,2021-04-06,Kingfisher,Oklahoma,2023,M -1 0 L 0 -0.2023 L 1 0
-88.93142164168728,35.99652883735036,2021-04-06,Gibson,Tennessee,6325,M -1 0 L 0 -0.6325 L 1 0
-88.06782448890414,36.070302711406924,2021-04-06,Benton,Tennessee,1596,M -1 0 L 0 -0.1596 L 1 0
-81.05326178660063,33.21469151406426,2021-04-06,Bamberg,South Carolina,1518,M -1 0 L 0 -0.1518 L 1 0
-98.52701546972331,28.893398584968025,2021-04-06,Atascosa,Texas,5589,M -1 0 L 0 -0.5589 L 1 0
-97.75387563601161,43.33449933470702,2021-04-06,Hutchinson,South Dakota,847,M -1 0 L 0 -0.0847 L 1 0
-103.50885099248089,44.90577626452205,2021-04-06,Butte,South Dakota,1012,M -1 0 L 0 -0.1012 L 1 0
-99.00473240748244,44.54798127874979,2021-04-06,Hand,South Dakota,355,M -1 0 L 0 -0.0355 L 1 0
-97.49131480038028,44.36956761714987,2021-04-06,Kingsbury,South Dakota,756,M -1 0 L 0 -0.0756 L 1 0
-87.49450297266458,35.52761878695086,2021-04-06,Lewis,Tennessee,1543,M -1 0 L 0 -0.1543 L 1 0
-89.73505571548432,45.33723248548945,2021-04-06,Lincoln,Wisconsin,3172,M -1 0 L 0 -0.3172 L 1 0
-88.83965735534916,35.608215010069856,2021-04-06,Madison,Tennessee,10564,M -1 0 L 0 -1.0564 L 1 0
-78.48288101611594,38.03810016459956,2021-04-06,Charlottesville city,Virginia,3895,M -1 0 L 0 -0.3895 L 1 0
-109.17571448938803,46.381009796967255,2021-04-06,Golden Valley,Montana,53,M -1 0 L 0 -0.0053 L 1 0
-105.507224571746,42.97190882742195,2021-04-06,Converse,Wyoming,984,M -1 0 L 0 -0.0984 L 1 0
-82.49752950518926,36.29258391232234,2021-04-06,Washington,Tennessee,13695,M -1 0 L 0 -1.3695 L 1 0
-90.50171949516718,45.21126826258095,2021-04-06,Taylor,Wisconsin,2061,M -1 0 L 0 -0.2061 L 1 0
-109.58858025054894,44.52032573567643,2021-04-06,Park,Wyoming,2644,M -1 0 L 0 -0.2644 L 1 0
-95.76363921272923,44.02200774495036,2021-04-06,Murray,Minnesota,988,M -1 0 L 0 -0.0988 L 1 0
-88.3045507353647,43.01805008045036,2021-04-06,Waukesha,Wisconsin,47062,M -1 0 L 0 -4.7062 L 1 0
-96.2587945212007,44.023346766930544,2021-04-06,Pipestone,Minnesota,1058,M -1 0 L 0 -0.1058 L 1 0
-77.15715429752613,38.27326990376286,2021-04-06,King George,Virginia,1555,M -1 0 L 0 -0.1555 L 1 0
-112.89818825146313,45.132571802554494,2021-04-06,Beaverhead,Montana,894,M -1 0 L 0 -0.0894 L 1 0
-109.84507372547277,46.46610148616836,2021-04-06,Wheatland,Montana,176,M -1 0 L 0 -0.0176 L 1 0
-93.18879546985154,36.96916141643317,2021-04-06,Christian,Missouri,8717,M -1 0 L 0 -0.8717 L 1 0
-92.81002149129472,38.843495554709534,2021-04-06,Cooper,Missouri,1908,M -1 0 L 0 -0.1908 L 1 0
-97.64928474562174,39.48036766539104,2021-04-06,Cloud,Kansas,973,M -1 0 L 0 -0.0973 L 1 0
-76.7285975482766,37.943719922964604,2021-04-06,Richmond,Virginia,1414,M -1 0 L 0 -0.1414 L 1 0
-89.14075069767681,35.8133546808642,2021-04-06,Crockett,Tennessee,1998,M -1 0 L 0 -0.1998 L 1 0
-86.50989797794882,39.76973201900333,2021-04-06,Hendricks,Indiana,16583,M -1 0 L 0 -1.6583 L 1 0
